Feature,Feature Weight
!!,-0.005729566003297156
!!!,-0.005813104906639033
!!!_<br>,-6.776263578034403E-21
!!_</font>,-6.776263578034403E-21
!!_<LEFTANGLE,-1.240022685635652E-4
!?,6.776263578034403E-21
#b,-8.84928087656529E-4
#b_houston,-8.84928087656529E-4
#banter,-1.3552527156068805E-20
#banter_<RIGHTANGLE>,-1.3552527156068805E-20
#bfbfbf,-1.3552527156068805E-20
#bfbfbf_'',-1.3552527156068805E-20
#e,1.3552527156068805E-20
#e_0e6df,1.3552527156068805E-20
#eaeaea,-4.743384504624082E-20
#eaeaea_<RIGHTANGLE>,-4.743384504624082E-20
#f,-4.743384504624082E-20
#f_0f0f0,-4.743384504624082E-20
#ff,-2.710505431213761E-20
#ffff,-2.710505431213761E-20
#ffff_00,-2.710505431213761E-20
#ffffff,-3.53239796410023E-4
#ffffff_'',-3.532397964100221E-4
#ffffff_<RIGHTANGLE>,1.3552527156068805E-20
#tip,-1.3552527156068805E-20
#tip_1,-1.3552527156068805E-20
#tip_2,-1.3552527156068805E-20
#tip_3,-1.3552527156068805E-20
&#0149;,-1.3552527156068805E-20
&#0149;_<LEFTANGLE,-1.3552527156068805E-20
'',0.009554118364586965
''_#bfbfbf,-1.3552527156068805E-20
''_#e,1.3552527156068805E-20
''_#f,-4.743384504624082E-20
''_#ff,2.710505431213761E-20
''_#ffff,-2.710505431213761E-20
''_#ffffff,-3.532397964100221E-4
''_'',1.0842021724855044E-19
''_-lsb-,-0.0029287556477287564
''_</font>,-0.0
''_<ACCENTGRAVE>,0.008299924850815888
''_<CLOSEPAREN>,0.006152261295106933
''_<COMMA>,-0.0014473194297052803
''_<ELLIPSE>,-0.0014967696519130002
''_<EXCLAMATIONMARK>,-0.0
''_<LEFTANGLE,0.03252414908907883
''_<NUMBERSIGN>,-3.5323979641002103E-4
''_<OPENPAREN>,-5.496745345345895E-4
''_<PERIOD>,-0.003608538072899843
''_<RIGHTANGLE>,-0.013397839527047777
''_<SEMICOLON>,-4.97455976267979E-6
''_EOL,-0.001123885080228817
''_``,-0.0011574302690496251
''_align,2.710505431213761E-20
''_alink,-1.0547747417136765E-5
''_alt,-1.0433226850010003E-4
''_and,-0.010077277994622446
''_as,-0.01350959920862992
''_at,-5.205636738706624E-4
''_back,-8.632557228635479E-4
''_bgcolor,6.776263578034403E-20
''_border,-1.0433226850010101E-4
''_but,-0.0018756530180407817
''_button,0.003338754723176668
''_by,-0.0014473194297052732
''_cellpadding,1.3552527156068805E-20
''_cellspacing,-1.7618285302889447E-19
''_coach,-0.0
''_color,-0.003458732561755365
''_colspan,-0.0
''_coords,-4.743384504624082E-20
''_face,-3.4269204899288534E-4
''_from,-0.005188523970681592
''_he,-0.005594973600911744
''_head,2.710505431213761E-20
''_height,-1.0433226850010003E-4
''_href,-4.0657581468206416E-20
''_if,0.010613794457597577
''_in,-0.005709087644552255
''_is,-7.2022696130027E-4
''_lang,-3.426920489928849E-4
''_leftmargin,-1.0547747417136792E-5
''_link,-1.0547747417136765E-5
''_marginheight,-1.05477474171369E-5
''_of,-0.0
''_on,-0.0015001223180425112
''_page,-0.0
''_prints,-0.0
''_said,-0.0017183450543412616
''_shanahan,-0.0012104105933874998
''_size,-3.476666087555648E-4
''_style,-3.426920489928847E-4
''_system,1.8295911660692887E-19
''_tab,-0.0
''_that,-5.205636738706618E-4
''_the,0.005111999143936638
''_this,-0.024307276695232416
''_thomas,5.421010862427522E-20
''_to,-0.0016779939429202848
''_topmargin,-1.0547747417137117E-5
''_vlink,-1.0547747417136765E-5
''_was,-5.205636738706615E-4
''_we,-4.743384504624082E-20
''_width,-1.0433226850010003E-4
''_wrote,0.004321128551500179
'01,-1.0822889952242265E-4
'02,-0.0
'02_</b>,-0.0
'd,-0.006549245588319286
'd_avoid,-0.0
'd_be,-0.0012104105933874998
'd_expect,-5.205636738706589E-4
'd_have,-2.710505431213761E-20
'd_like,-0.0030999262667198817
'd_prefer,-0.0011574302690496251
'd_probably,-0.0
'd_say,-5.205636738706617E-4
'd_start,-0.0
