label,body,subject
0,"don't know what doing for new years (mentioned n.o. to z but not sure).  
didn't return phone call because i was in nyc and forgot when i got home.  i 
don't know anything about directories talk to my brother.  i don't know what 
the fuck.





""Steve Nadalin"" <s.nadalin@thehiringspot.com> on 12/08/2000 04:28:15 PM
Please respond to <s.nadalin@thehiringspot.com>
To: ""Martin Cuilla (E-mail)"" <mcuilla@ect.enron.com>
cc:  
Subject: new years


what the fuck are you doing for new years? why the fuck didn't you return my
voice-mail? where in the fuck are those directories? what the fuck, man?


",Re: new years
1,"Hey pops I guess you know that the NASDAQ is getting crushed - I think you 
should be OK but I think we should look at changing some of your holdings.  I 
looked and some of your funds haven't done so well this year especially Low 
Priced Stock.  Also, I am worried about earnings for many companies with 
energy prices so high and the prospect of very high prices this winter.  I 
don't know but it might be prudent to even move some money into cash or up 
your bond exposure.  I'll try to call you and talk about it later.  If I 
don't talk to you in the next couple of days remind me and maybe we can look 
at some options when you are here for the wedding.",
0,"I thought you would be interested in the weather forecast for the Wedding.  
The data includes max temp, max temp deviation from normal (ie if max is 88 
and normal max is 86 max temp deviation is +2), min temp, min temp deviation 
from normal and percent of precipitation.  So far things are looking good.  
We are getting a cold front this weekend (hitting Texas on Monday) and looks 
like things should be beautiful for next weekend.  I wouldn't be that worried 
about the rain either - the reason the POP is so high right now is tropical 
moisture in the Gulf of Mexico and that will blow through this weekend.  
After that the tropics settle down and it is much less likely to get 
tropical  moisture.


City          	Forecast      Date 	Max    Temp	Max Temp Deviation	Min Temp	Min Temp Deviation	POP (%)
Houston	09/20/00	91	 3	70	 3	53
Houston	09/21/00	86	-1	72	 5	52
Houston	09/22/00	91	 4	67	 1	57
Houston	09/23/00	93	 6	74	 8	52
Houston	09/24/00	83	-4	67	 1	55
Houston	09/25/00	80	-7	59	-6	27
Houston	09/26/00	82	-4	58	-7	 7
Houston	09/27/00	86	 0	61	-4	14
Houston	09/28/00	86	 0	62	-2	26
Houston	09/29/00	85	-1	64	 0	16
Houston	09/30/00	86	 0	62	-1	16
Houston	10/01/00	86	 1	64	 1	20",Weather
0,"Amy and Alec are definitely welcome!  Actually we had already planned on Amy 
and Alec coming and a couple who we are friends with is bringing their 
daughter, our flower girl, who is about 4 years old.  We have a whole room to 
ourselves at the restaurant so Amy and Alec should be fine.  I talked to 
grandma and she said Julie wouldn't be able to make it so I already knew 
about that.  Don't worry about having 4 more people, the only reason we were 
cautious about inviting aunts and uncles was we didn't want to open up the 
flood gates but most of them already live in Houston or aren't going to make 
it to Houston until late Friday.  As far as the bill just let me know what 
you are comfortable with and we will pick up the rest.  The food bill with 
tax and tip will be about $1,350.  We are very appreciative to have both our 
parent's help as we quickly found that weddings are very expensive.  However, 
we are both adults with good careers and try to be very self-sufficient.  
Also, we realize that some things we do seem extravagant by our parents 
standards.  We could have just as easily had a rehearsal at a Mexican 
restaurant and it would have been cheaper - however we would rather have 
things a certain way and pay for the difference.  Also, I know that you guys 
are on a tight budget with the building of your house.  The bottom line is 
that we are grateful for any help we receive and have the resources to pay 
the balance.  Our most  important concern is that all our family and friends 
to have a great time.  While I am on the subject, I hope your mother and 
grandma Ina aren't going to get their feeling hurt about people drinking wine 
at the dinner.  If you think they will please mention it to them on the way 
down because I don't want them to be offended but I can't change who Zooey 
and I are.  Just so you know we will have dinner and desert and then there 
will be several toasts starting with the best man (James Cook) and the matron 
of honor (Amber) and then probably ending in Zooey and me doing a quick 
toast.  We would love for all our family to be there but if grandmother or 
Betty Joyce is going to get offended and don't want to stay I understand.  
Also, do you know if Skipper is planning to attend.  We haven't received a 
reply card as to whether he will be there or not.  As to this weekend, I am 
going to try to stop by but don't have a car so just depends what is going 
on.  I will be in Dallas so if Mark is coming over Saturday afternoon I could 
get a ride from him.  I'll try to talk to him and see if that works.  
Finally, we are both really looking forward to our big day and are very glad 
to have all our family there to support us!  If you have any questions please 
call me tonight at the house.





Sharon.Cuilla@nlrb.gov on 09/19/2000 12:57:00 PM
To: martin.cuilla@enron.com
cc:  
Subject: Plans



     Hi Marty,

     Amy and I were talking over the weekend and she said she did not plan
     to attend the rehearsal dinner because there was no one to keep Alec.
     Would you and Zooey think it was OK if she came and brought Alec for
     dinner only and left as soon as they were through eating?  She said
     she did not want to ask you about it because she didn't want you or
     Zooey to feel any pressure.  This is your special time and she doesn't
     want to detract from it in any way.  I feel sorry for her missing out.
     It is hard for Alec to be still and quite for very long but I think he
     would be fine while we are eating.  Would you please talk with Zooey
     and ask her how she feels about Amy bringing Alec for a while.  Amy
     would leave right away if Alec was disturbing anyone.  If you prefer
     he doesn't come, just say so.  There will certainly be no hard
     feelings over it.

     I spoke with Betty Joyce Sunday and Julianna and her husband are not
     going to be able to come.  Joyce, Chester, Renee, and Travis (her
     boyfriend) are planning to arrive in Houston Friday afternoon the
     29th.  Dad and I are bringing Grandma Ina and Mamanet with us and
     should arrive early in the afternoon on Friday.  Mike decided to fly
     and is coming in Saturday around 4 p.m.  There will be 9 or 11
     (depending if Amy comes) of us from our family for the rehearsal
     dinner.  I know that is more that you had planned on but I will pay
     for the extra people.  Why don't you call me when you have time and we
     can talk about it.

     Now that Mamanet is coming, she is very excited about the trip.  She
     called me yesterday when she got her ticket and she said she had
     really wanted to come but didn't think she would have the chance to
     come.  I'm glad I was able to work it out.

     Grandma Ina will arrive here this week on Thursday.  It seems like I
     remember you and Zooey were going to be in town this weekend for her
     class reunion.  I know you have a busy schedule and may not have time
     to come by, but if you do let me know when and we will plan lunch or
     whatever.  If you have time you can see the new house.  It is looking
     better every day.

     Love,

     Mom

",Re: Plans
0,"The winner of the 9/15 Dave Matthews Tickets accidently bid on both pairs of 
tickets I had for sale (9/15 and 9/16) and only wanted one pair.  He is 
buying the 9/16 tickets (11th row) for $345.  If you are interested in the 
9/15 tickets (8th row) which are even better seats, I can sell them to you 
for $305.  Let me know asap because I am leaving town around 2pm for the 
weekend.  You can reach me at work or anytime this weekend on my cell phone.  
If you are interested please call me at 713-853-5933 (work) or 713-516-8820 
(cell) and we will work it out.  FYI - I am also notifying the person who bid 
$305 and promised to give them first look but otherwise the tickets are your 
if you want.

Thanks,

Martin",Dave Matthews Tickets
0,"The winner of the 9/15 Dave Matthews Tickets accidently bid on both pairs of 
tickets I had for sale (9/15 and 9/16) and only wanted one pair.  He is 
buying the 9/16 tickets (11th row) for $345.  If you are interested in the 
9/15 tickets (8th row) which are even better seats, I can sell them to you 
for $305.  Let me know asap because I am leaving town around 2pm for the 
weekend.  You can reach me at work or anytime this weekend on my cell phone.  
If you are interested please call me at 713-853-5933 (work) or 713-516-8820 
(cell) and we will work it out.  FYI - I am also notifying the person who bid 
$300 as well but will give you first look at $305 if you get back to me soon.

Thanks,

Martin",Dave Matthews Tickets
0,"Just a quick note about the free agent and bye week replacements for this 
year.  The free agent draft will be held Thursday at 1pm.  You will have 
until 1pm to submit your free agent requests to me at mcuilla@enron.com.  You 
should include who you want, who you want to drop and the amount of points 
you want to bid.  You can bid 0 points for a free agent however if someone 
bids 1 point you will lose.  In the case of a tying bid the two teams will 
have an open bid to determine who gets the player.  Everyone will start with 
100 points and you more points based on your weekly finish (1 point for 
highest score and 12 points for lowest score).  ",Free Agents
0,"I am interested in purchasing a Huglu shotgun and would like to get a price.  
I am looking at the Model Au1 semi-automatic model.  Please email me with a 
price and approximate time til delivery (I live in Houston).  Also, please 
include information on any choices or extras available.

Thanks,

Martin Cuilla",Huglushotguns
1,"Looking at Earnings estimates I think they are under estimating the long term 
shift in natural gas prices.  90 days ago they had next year earnings $.17 
under this year
and only resently have they started to raise 2001 earnings to account for 
were prices are.  I image that are still under estimating next year earnings 
based on where
the strip of natural gas is.  I don't think most people expected gas next 
summer to be trading over $4.55 

    Dec 00          Mar 01    This Year - Dec 00     Next Year Dec 01  Long 
Term Growth
Current
7 Days Ago
30 Days Ago
60 Days Ago
90 Days Ago	 0.93
0.93
0.82
0.67
0.60	0.92
0.92
0.78
0.59
0.59	2.70
2.70
2.57
2.33
2.14	 2.78
2.78
2.52
2.15
1.97	9.05%
9.05%
9.24%
10.20%
10.20%",
1,"""I accept the terms and conditions of this Pilot Participant Agreement.""  
Martin Cuilla
x35933



   
	
	
	From:  ClickAtHomePilot2                           11/08/2000 10:06 AM
	

Sent by: Suzanne Brown
To: Chris Cockrell/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Allen 
Cohrs/ET&S/Enron@ENRON, Brad Coleman/HOU/ECT@ECT, Wes Colwell/HOU/ECT@ECT, 
Elaine Concklin/ET&S/Enron@ENRON, Mark Cooper/ECF/Enron@ENRON, Gina 
Corteselli/Corp/Enron@Enron, Emile 
Courrege/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Paige Cox/Corp/Enron@Enron, 
Penny Crane/Enron Communications@Enron Communications, Michael 
Cuccia/Corp/Enron@ENRON, Martin Cuilla/HOU/ECT@ECT, Jeff 
Cullison/ET&S/Enron@ENRON, Pamela Culpepper/ET&S/Enron@Enron, Dan 
Cummings/Enron Communications@Enron Communications, Steve 
Dahnke/ET&S/Enron@ENRON, Larry Dallman/GPGFIN/Enron@ENRON, Glenn 
Darrah/Corp/Enron@ENRON, Lohit Datta-Barua/OTS/Enron@Enron, Raul 
Davila/GPGFIN/Enron@ENRON, Clara Davis/GPGFIN/Enron@ENRON, Kevin M 
Davis/ECF/Enron@Enron, Don Daze/ET&S/Enron@ENRON, Ryan Deane/SF/ECT@ECT, 
Juanita Delgado/HOU/EES@EES, Mike Denzel/ET&S/Enron@ENRON, Larry 
Derrett/HOU/EES@EES, LaDonna Dervin/OTS/Enron@ENRON, Michael 
Desbiens/Corp/Enron@ENRON, Peggy Determeyer/Corp/Enron@Enron, Leslie D 
Dever/HOU/EES@EES, Mike Deville/HOU/ECT@ECT, Shirley Jo 
Wilson/NA/Enron@ENRON, Stacy E Dickson/HOU/ECT@ECT, Ashley Dietz/Enron 
Communications@Enron Communications, Richard DiMichele/Enron 
Communications@Enron Communications, Huy Dinh/HOU/ECT@ECT, Trang 
Dinh/HOU/ECT@ECT, Danny Doan/Corp/Enron@ENRON, Karla 
Dobbs/HR/Corp/Enron@ENRON, Jodi Dobrinski/OTS/Enron@ENRON, Margaret 
Doucette/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Stephen H Douglas/HOU/ECT@ECT, 
Kevin Dumas/GCO/Enron@ENRON, Tina Dunnaway/FGT/Enron@ENRON, Dianna 
Dupree/HOU/ECT@ECT, Carlos Duran/Enron Communications@Enron Communications, 
Deborah P Durr/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, John 
Dushinske/ET&S/Enron@ENRON, Judy Dyess/HOU/EES@EES, Mark Dypiangco/Enron 
Communications@Enron Communications, Calvin Eakins/Corp/Enron@ENRON, Scott 
Earnest/HOU/ECT@ECT, Max Eberts/HOU/EES@EES, Monica Edwards/HOU/ECT@ECT, 
Karen E Ehlert/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, David 
Eldridge/Corp/Enron@ENRON, Connie Emerson/ECF/Enron@ENRON, Kenton Erwin/Enron 
Communications@Enron Communications, Cynthia U 
Espinoza/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Javier Espinoza/HOU/EES@EES, 
Carrie Evans/HOU/EES@EES, Leo Fajardo/ET&S/Enron@ENRON, Charles 
Falgout/ENRON_DEVELOPMENT@ENRON_DEVELOPMENt, Lachandra 
Fenceroy/ET&S/Enron@Enron, Youyi Feng/NA/Enron@Enron, Roger 
Fernandez/OTS/Enron@ENRON, Lee Ferrell/ET&S/Enron@Enron, Kathy 
Fink/Corp/Enron@ENRON, Dara M Flinn/HOU/EES@EES, Darlene C 
Forsyth/HOU/ECT@ECT, Mike Frank/OTS/Enron@Enron, Paul Fraser/Enron 
Communications@Enron Communications, Lamar Frazier/NA/Enron@Enron, Perry 
Frazier/ET&S/Enron@ENRON, Darryl S Free/NA/Enron@Enron, Mark 
Frevert/NA/Enron@Enron, Elba Funes/Enron Communications@Enron Communications, 
Bruno Gaillard/EU/Enron@Enron, Sonja Galloway/Corp/Enron@Enron, Amy 
Gambill/Corp/Enron@ENRON, Ava Garcia/ET&S/Enron@Enron, Frances 
Garcia/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Orlando Garcia/HOU/EES@EES, Susan 
Gensichen/NPNG/Enron@ENRON, Robert H George/NA/Enron@Enron, Dave 
Gerstenkorn/ET&S/Enron@ENRON, Tom Gilbert/ET&S/Enron@ENRON, Beverly 
Gilmore/GCO/Enron@ENRON, James Ginty/Enron Communications@Enron 
Communications, Matt Gitchell/Enron Communications@Enron Communications, 
Sharon Gonzales/NA/Enron@ENRON, Chuck Good/ET&S/Enron@ENRON, Elizabeth A 
Goodman/HOU/EES@EES, Michael Goodman/OTS/Enron@ENRON, Sherry J 
Graham/HOU/ECT@ECT, Alma Green/FGT/Enron@ENRON, Vance 
Griffith/ET&S/Enron@ENRON, Angela Grohol/Enron Communications@Enron 
Communications, Marlin Gubser/HOU/ECT@ECT, Chuck Hahn/SFO/EES@EES, Gigi 
Hall/Corp/Enron@ENRON, Mark Harada/HOU/EES@EES, Glenn 
Harbers/ECF/Enron@ENRON, Russell Hardie/HR/Corp/Enron@ENRON, Michelle 
Hargrave/HOU/ECT@ECT, Cole Harper/Enron Communications@Enron Communications
cc:  
Subject: An Invitation to Participate to the Second Pilot of ClickAtHome

We are excited to extend an invitation to you to participate in the second 
Pilot of Enron's new ClickAtHome program.

You have been invited to participate by your Human Resources department or a 
ClickAtHome project member. 

The ClickAtHome program is Enron's new innovative program to provide eligible 
employees high-speed internet access where available, with a high-end 
computer and high-speed internet connection.

If you are interested in participating in the ClickAtHome pilot program, 
please read all of the materials below and electronically return the PILOT 
Agreement with your consent by stating that you accept the terms and 
conditions of the agreement in a reply e-mail to this invitation.  The only 
action required of you at this time is described below under PILOT 
agreement.  The ordering websites will open in about two to three weeks and 
are NOT accessible at this time.  



Pilot Kickoff2 11-2.ppt - Details pilot member expectations, commitments, and 
a tentative pilot time table.


Terms and Conditions - Program terms and conditions. You will be asked to 
accept or decline these terms and conditions before
you order your computer and/or internet connection on the pilot web site.


Employee Election Agreement - Please read. You will be asked to accept or 
decline this agreement before you order your computer and/or internet 
connection on the pilot web site.


Pilot Agreement - Please return the pilot agreement electronically by 
replying to this mailbox (clickathomepilot2@enron.com) and stating: ""I accept 
the terms and conditions of this Pilot Participant Agreement.""  if you would 
like to participate.  To sign up for Pilot Two, please return via email by 
11/10.
",Re: An Invitation to Participate to the Second Pilot of ClickAtHome
