Feature,Feature Influence,Feature Weight
!!,0.0,0.005729566003297156
!!!,0.0,0.005813104906639033
!!!_<br>,0.0,6.776263578034403E-21
!!_</font>,0.0,6.776263578034403E-21
!!_<LEFTANGLE,0.0,1.240022685635652E-4
!?,0.0,-6.776263578034403E-21
#b,0.0,8.84928087656529E-4
#b_houston,0.0,8.84928087656529E-4
#banter,0.0,1.3552527156068805E-20
#banter_<RIGHTANGLE>,0.0,1.3552527156068805E-20
#bfbfbf,0.0,1.3552527156068805E-20
#bfbfbf_'',0.0,1.3552527156068805E-20
#e,0.0,-1.3552527156068805E-20
#e_0e6df,0.0,-1.3552527156068805E-20
#eaeaea,0.0,4.743384504624082E-20
#eaeaea_<RIGHTANGLE>,0.0,4.743384504624082E-20
#f,0.0,4.743384504624082E-20
#f_0f0f0,0.0,4.743384504624082E-20
#ff,0.0,2.710505431213761E-20
#ffff,0.0,2.710505431213761E-20
#ffff_00,0.0,2.710505431213761E-20
#ffffff,0.0,3.53239796410023E-4
#ffffff_'',0.0,3.532397964100221E-4
#ffffff_<RIGHTANGLE>,0.0,-1.3552527156068805E-20
#tip,0.0,1.3552527156068805E-20
#tip_1,0.0,1.3552527156068805E-20
#tip_2,0.0,1.3552527156068805E-20
#tip_3,0.0,1.3552527156068805E-20
&#0149;,0.0,1.3552527156068805E-20
&#0149;_<LEFTANGLE,0.0,1.3552527156068805E-20
'',0.0,-0.009554118364586965
''_#bfbfbf,0.0,1.3552527156068805E-20
''_#e,0.0,-1.3552527156068805E-20
''_#f,0.0,4.743384504624082E-20
''_#ff,0.0,-2.710505431213761E-20
''_#ffff,0.0,2.710505431213761E-20
''_#ffffff,0.0,3.532397964100221E-4
''_'',0.0,-1.0842021724855044E-19
''_-lsb-,0.0,0.0029287556477287564
''_</font>,0.0,0.0
''_<ACCENTGRAVE>,0.0,-0.008299924850815888
''_<CLOSEPAREN>,0.0,-0.006152261295106933
''_<COMMA>,0.0,0.0014473194297052803
''_<ELLIPSE>,0.0,0.0014967696519130002
''_<EXCLAMATIONMARK>,0.0,0.0
''_<LEFTANGLE,0.0,-0.03252414908907883
''_<NUMBERSIGN>,0.0,3.5323979641002103E-4
''_<OPENPAREN>,0.0,5.496745345345895E-4
''_<PERIOD>,0.0,0.003608538072899843
''_<RIGHTANGLE>,0.0,0.013397839527047777
''_<SEMICOLON>,0.0,4.97455976267979E-6
''_EOL,0.0,0.001123885080228817
''_``,0.0,0.0011574302690496251
''_align,0.0,-2.710505431213761E-20
''_alink,0.0,1.0547747417136765E-5
''_alt,0.0,1.0433226850010003E-4
''_and,0.0,0.010077277994622446
''_as,0.0,0.01350959920862992
''_at,0.0,5.205636738706624E-4
''_back,0.0,8.632557228635479E-4
''_bgcolor,0.0,-6.776263578034403E-20
''_border,0.0,1.0433226850010101E-4
''_but,0.0,0.0018756530180407817
''_button,0.0,-0.003338754723176668
''_by,0.0,0.0014473194297052732
''_cellpadding,0.0,-1.3552527156068805E-20
''_cellspacing,0.0,1.7618285302889447E-19
''_coach,0.0,0.0
''_color,0.0,0.003458732561755365
''_colspan,0.0,0.0
''_coords,0.0,4.743384504624082E-20
''_face,0.0,3.4269204899288534E-4
''_from,0.0,0.005188523970681592
''_he,0.0,0.005594973600911744
''_head,0.0,-2.710505431213761E-20
''_height,0.0,1.0433226850010003E-4
''_href,0.0,4.0657581468206416E-20
''_if,0.0,-0.010613794457597577
''_in,0.0,0.005709087644552255
''_is,0.0,7.2022696130027E-4
''_lang,0.0,3.426920489928849E-4
''_leftmargin,0.0,1.0547747417136792E-5
''_link,0.0,1.0547747417136765E-5
''_marginheight,0.0,1.05477474171369E-5
''_of,0.0,0.0
''_on,0.0,0.0015001223180425112
''_page,0.0,0.0
''_prints,0.0,0.0
''_said,0.0,0.0017183450543412616
''_shanahan,0.0,0.0012104105933874998
''_size,0.0,3.476666087555648E-4
''_style,0.0,3.426920489928847E-4
''_system,0.0,-1.8295911660692887E-19
''_tab,0.0,0.0
''_that,0.0,5.205636738706618E-4
''_the,0.0,-0.005111999143936638
''_this,0.0,0.024307276695232416
''_thomas,0.0,-5.421010862427522E-20
''_to,0.0,0.0016779939429202848
''_topmargin,0.0,1.0547747417137117E-5
''_vlink,0.0,1.0547747417136765E-5
''_was,0.0,5.205636738706615E-4
''_we,0.0,4.743384504624082E-20
''_width,0.0,1.0433226850010003E-4
''_wrote,0.0,-0.004321128551500179
'01,0.0,1.0822889952242265E-4
'02,0.0,0.0
'02_</b>,0.0,0.0
'd,0.0,0.006549245588319286
'd_avoid,0.0,0.0
'd_be,0.0,0.0012104105933874998
'd_expect,0.0,5.205636738706589E-4
'd_have,0.0,2.710505431213761E-20
'd_like,0.0,0.0030999262667198817
'd_prefer,0.0,0.0011574302690496251
'd_probably,0.0,0.0
'd_say,0.0,5.205636738706617E-4
'd_start,0.0,0.0
'em,0.0,0.00598318712529689
'll,0.0,0.06164723138813642
'll_also,0.0,5.611785240292979E-4
'll_answer,0.0,1.3552527156068805E-20
'll_be,0.0,0.010272672867437252
'll_bid,0.0,0.003923568995278032
'll_come,0.0,2.9077707079561117E-4
'll_continue,0.0,2.710505431213761E-20
'll_do,0.0,0.0
'll_earn,0.0,0.0
'll_face,0.0,-1.3552527156068805E-20
'll_find,0.0,7.051213945596678E-4
'll_get,0.0,2.9110860663925156E-5
'll_go,0.0,-0.005334424337124837
'll_have,0.0,0.017793485921818075
'll_help,0.0,3.3881317890172014E-21
'll_include,0.0,1.3552527156068805E-20
'll_keep,0.0,-2.1684043449710089E-19
'll_likely,0.0,6.776263578034403E-21
'll_make,0.0,-6.776263578034403E-21
'll_play,0.0,0.0012104105933874998
'll_provide,0.0,-1.1519648082658485E-19
'll_save,0.0,0.0011574302690496262
'll_see,0.0,1.3552527156068805E-19
'll_take,0.0,0.02671351220140463
'll_try,0.0,-0.0019514601614843115
'll_want,0.0,0.0
'm,0.0,-3.462432927416766E-4
'm_going,0.0,-0.009831409554482005
'm_guessing,0.0,0.0
'm_having,0.0,0.016556599745748794
'm_just,0.0,0.0
'm_leaving,0.0,0.003952723698228871
'm_not,0.0,6.364178073308221E-4
'm_on,0.0,5.921995641198775E-5
'm_playing,0.0,0.003952723698228871
'm_ready,0.0,1.1519648082658485E-19
're,0.0,0.022111205605475037
're_a,0.0,2.710505431213761E-20
're_desperate,0.0,0.0
're_giving,0.0,-2.710505431213761E-20
're_going,0.0,-9.486769009248164E-20
're_in,0.0,-1.0842021724855044E-19
're_interested,0.0,-2.710505431213761E-20
're_just,0.0,-1.3552527156068805E-20
're_looking,0.0,2.710505431213761E-20
're_not,0.0,6.579275698856055E-4
're_on,0.0,2.1684043449710089E-19
're_open,0.0,-1.1519648082658485E-19
're_planning,0.0,-2.710505431213761E-20
're_ready,0.0,0.0017183450543412613
're_saying,0.0,0.004127680331673114
're_sitting,0.0,0.0
're_still,0.0,0.0
's,0.0,0.05285422552108757
's_<COMMA>,0.0,0.0
's_<DASH>,0.0,0.0
's_<PERIOD>,0.0,0.004622843290510284
's_<RIGHTANGLE>,0.0,0.009755042790502811
's_``,0.0,0.002604749698754889
's_a,0.0,0.0017309742672581546
's_absence,0.0,-5.421010862427522E-20
's_ahman,0.0,0.0
's_all,0.0,5.205636738706618E-4
's_always,0.0,-8.131516293641283E-20
's_an,0.0,0.004767978166578429
's_and,0.0,0.006410874407982485
's_anthony,0.0,6.776263578034403E-21
's_antowain,0.0,0.0
's_artwork,0.0,-1.1519648082658485E-19
's_at,0.0,1.0842021724855044E-19
's_autumn,0.0,-0.001632683569382294
's_back,0.0,0.0012104105933874998
's_bad,0.0,-1.3552527156068805E-20
's_been,0.0,0.004039415047221764
's_best,0.0,8.113407446662739E-4
's_business,0.0,-0.0038843862138483653
's_charlie,0.0,6.776263578034403E-21
's_chest,0.0,0.0018475033762584158
's_chris,0.0,7.022067034436635E-4
's_clear,0.0,1.3552527156068805E-20
's_corey,0.0,0.0
's_curtis,0.0,0.0
's_defense,0.0,0.001718345054341262
's_destinations,0.0,0.0
's_duce,0.0,0.0
's_eddie,0.0,0.0
's_email,0.0,-2.371692252312041E-19
's_engine,0.0,1.3552527156068805E-20
's_eve,0.0,8.131516293641283E-20
's_excellent,0.0,0.0
's_expected,0.0,-1.3552527156068805E-20
's_fall,0.0,0.0
's_fantasy,0.0,3.088150381785029E-4
's_favorite,0.0,0.0
's_first,0.0,5.205636738706611E-4
's_for,0.0,0.008954726864447895
's_game,0.0,-3.2526065174565133E-19
's_garrison,0.0,6.776263578034403E-21
's_get,0.0,-0.01006604711080567
's_going,0.0,-0.013292422318175746
's_got,0.0,0.0012227703773143232
's_had,0.0,0.0
's_hard,0.0,0.0
's_healthy,0.0,5.421010862427522E-20
's_help,0.0,-0.00659275315350526
's_hot,0.0,-8.131516293641283E-20
's_hottest,0.0,1.3552527156068805E-19
's_houston,0.0,1.5442550017075141E-4
's_how,0.0,0.0
's_imagestation.com,0.0,-4.0657581468206416E-20
's_in,0.0,5.205636738706617E-4
's_injury,0.0,0.0012395214540514238
's_it,0.0,4.0657581468206416E-20
's_james,0.0,0.0
's_jerome,0.0,0.0
's_just,0.0,0.0014918453383642974
's_knee,0.0,1.0842021724855044E-19
's_ladainian,0.0,0.0
's_lamar,0.0,6.776263578034403E-21
's_largest,0.0,-0.0029049137630342463
's_likely,0.0,0.0
's_lining,0.0,0.0
's_loss,0.0,0.0017183450543412605
's_matchup,0.0,2.710505431213761E-20
's_maurice,0.0,0.0
's_michael,0.0,0.0
's_mike,0.0,-1.3552527156068805E-20
's_most,0.0,5.205636738706617E-4
's_my,0.0,0.015679106735187236
's_new,0.0,-0.004780384012819481
's_nfl,0.0,2.0328790734103208E-19
's_no,0.0,0.002196966732923969
's_no.,0.0,-5.421010862427522E-20
's_not,0.0,-0.0034254774369049117
's_numbers,0.0,0.0
's_offense,0.0,-2.710505431213761E-20
's_office,0.0,-0.006072189479634603
's_on,0.0,2.710505431213761E-20
's_one,0.0,-1.3552527156068805E-20
's_onepass,0.0,0.0
's_online,0.0,6.776263578034403E-21
's_only,0.0,-2.710505431213761E-20
's_our,0.0,-0.0034254774369049095
's_performance,0.0,0.0027884387551292255
's_playing,0.0,0.0
's_possible,0.0,5.205636738706617E-4
's_practice,0.0,0.0012104105933874998
's_pretty,0.0,0.0041287852293574335
's_priest,0.0,0.0
's_probably,0.0,1.6263032587282567E-19
's_ranked,0.0,0.0
's_ready,0.0,-8.131516293641283E-20
's_receiving,0.0,1.3552527156068805E-20
's_recent,0.0,8.506928618993698E-4
's_record,0.0,0.004796345990274138
's_resolution,0.0,1.3552527156068805E-20
's_richard,0.0,6.776263578034403E-21
's_right,0.0,-4.3368086899420177E-19
's_season,0.0,6.776263578034403E-21
's_shaun,0.0,6.776263578034403E-21
's_site,0.0,0.0025835347420513554
's_something,0.0,0.007003455655063995
's_special,0.0,0.0
's_stacey,0.0,0.0
's_starting,0.0,0.0
's_status,0.0,1.3552527156068805E-20
's_stephen,0.0,0.0
's_still,0.0,0.0
's_such,0.0,0.0044836269980257455
's_terms,0.0,0.0
's_terry,0.0,0.0
's_the,0.0,-0.010379659791096943
's_time,0.0,9.378452108296346E-5
's_too,0.0,8.131516293641283E-20
's_top,0.0,1.0842021724855044E-19
's_tough,0.0,0.0
's_travis,0.0,0.0
's_up,0.0,9.378452108296335E-5
's_use,0.0,2.645563388481494E-4
's_warrick,0.0,0.0
's_website,0.0,0.003910362783949189
's_what,0.0,7.022067034436636E-4
's_why,0.0,0.001210410593387499
's_win,0.0,0.0
's_worth,0.0,2.710505431213761E-20
's_your,0.0,1.0822889952242319E-4
've,0.0,-0.006982984634163577
've_been,0.0,-0.012082011724788212
've_got,0.0,-0.006319537400614479
've_made,0.0,-9.486769009248164E-20
've_never,0.0,2.0525974481507394E-5
've_requested,0.0,-0.002409008261456647
've_used,0.0,8.470329472543003E-22
+0.4,0.0,-0.002409008261456647
+0.4_<PERCENTSIGN>,0.0,-0.002409008261456647
+1,0.0,0.032526513075712166
+1.15,0.0,-0.002409008261456647
+1.15_<PERCENTSIGN>,0.0,-0.002409008261456647
+1.19,0.0,-0.002409008261456647
+1.19_<PERCENTSIGN>,0.0,-0.002409008261456647
+1.48,0.0,-0.002409008261456647
+1.48_<PERCENTSIGN>,0.0,-0.002409008261456647
+1.90,0.0,-0.002409008261456647
+1.90_<PERCENTSIGN>,0.0,-0.002409008261456647
+2,0.0,6.891568180806399E-5
+2_<PERCENTSIGN>,0.0,-0.002409008261456647
+3.03,0.0,-0.002409008261456647
+3.03_<PERCENTSIGN>,0.0,-0.002409008261456647
+3.07,0.0,-0.002409008261456647
+3.07_<PERCENTSIGN>,0.0,-0.002409008261456647
+3.36,0.0,-0.002409008261456647
+3.36_<PERCENTSIGN>,0.0,-0.002409008261456647
+3.78,0.0,-0.002409008261456647
+3.78_<PERCENTSIGN>,0.0,-0.002409008261456647
+5.4,0.0,-0.002409008261456647
+5.4_<PERCENTSIGN>,0.0,-0.002409008261456647
+6.5,0.0,-0.002409008261456647
+6.5_<PERCENTSIGN>,0.0,-0.002409008261456647
+6.6,0.0,-0.002409008261456647
+6.6_<PERCENTSIGN>,0.0,-0.002409008261456647
--,0.0,-0.06650502607666316
-----,0.0,-0.02659381291060394
--------,0.0,-6.098637220230962E-20
--------------------,0.0,-9.486769009248164E-20
----------------------,0.0,-0.008708377983875346
---------------------------,0.0,-0.008003256589315675
----------------------------,0.0,2.710505431213761E-20
-------------------------------,0.0,0.0
--------------------------------------,0.0,-2.710505431213761E-20
---------------------------------------,0.0,-2.710505431213761E-20
------------------------------------------,0.0,0.0
----------------------------------------------------,0.0,0.001157430269049626
-----------------------------------------------------------,0.0,2.8143474497679857E-4
-------------------------------------------------------------,0.0,0.008900424521914096
---------------------------------------------------------------------,0.0,4.0259955926146425E-4
------------------------------------------------------------------------,0.0,-0.0019121202900435467
------------------------------------------------------------------------------------------------------,0.0,1.2197274440461925E-19
----------------------------------------------------------------------------------------------------------------------------,0.0,5.421010862427522E-20
----------------------------------------------------------------------------------------------------------------------------_for,0.0,5.421010862427522E-20
------------------------------------------------------------------------------------------------------_scheduled,0.0,6.776263578034403E-21
-------------------------------------------------------------_bill,0.0,6.776263578034403E-21
-------------------------------------------------------------_gary,0.0,2.7067841034510094E-4
-------------------------------------------------------------_grigsby,0.0,-9.486769009248164E-20
-------------------------------------------------------------_mark,0.0,-2.710505431213761E-20
-------------------------------------------------------------_mike,0.0,0.0023128563317062526
-------------------------------------------------------------_to,0.0,0.002583534742051353
-----------------------------------------------------------_for,0.0,6.776263578034403E-21
-----------------------------------------------------------_prints,0.0,-1.1519648082658485E-19
-----------------------------------------------------------_this,0.0,6.776263578034403E-21
-----------------------------------------------------------_your,0.0,-4.0657581468206416E-20
------------------------------------------_<DOLLAR>,0.0,0.0
---------------------------------------_this,0.0,1.3552527156068805E-20
-------------------------------_<DOLLAR>,0.0,0.0
---------------------------_enron,0.0,-0.005207636376988519
---------------------------_madeleine,0.0,4.0187989478315177E-4
---------------------------_michael,0.0,0.0013312074652239117
----------------------_forwarded,0.0,-0.013024611490761234
--------------------_--------,0.0,-1.1519648082658485E-19
--------_total,0.0,-1.1519648082658485E-19
-----_<RIGHTANGLE>,0.0,-0.0034832143395908074
-----_from,0.0,-0.02504569250693505
-----_original,0.0,-0.07809036440903026
--_<RIGHTANGLE>,0.0,4.974559762680088E-6
--_<tableÊwidth="100%"Êborder="0"Êcellspacing="0"Êcellpadding="5"Êbgcolor="#ffffee">,0.0,1.3552527156068805E-20
--_a,0.0,-0.005111419019298059
--_and,0.0,2.710505431213761E-20
--_follow,0.0,0.0
--_please,0.0,1.3552527156068805E-20
--_the,0.0,-0.0014516827308126428
--_today,0.0,8.131516293641283E-20
--_up,0.0,0.0011574302690496251
--_you,0.0,5.421010862427522E-20
-0.1,0.0,-0.002409008261456647
-0.1_<PERCENTSIGN>,0.0,-0.002409008261456647
-1,0.0,0.0024779239432646963
-1412,0.0,4.0657581468206416E-20
-1412_<RIGHTANGLE>,0.0,4.0657581468206416E-20
-2,0.0,0.002477923943264699
-4,0.0,0.002477923943264699
-4_<PERIOD>,0.0,-1.1858461261560205E-20
-7,0.0,0.002477923943264699
-lrb-212-rrb-Ê756Ê4474,0.0,-0.004321128551500179
-lrb-212-rrb-Ê756Ê4474_<RIGHTANGLE>,0.0,-0.004321128551500179
-lrb-506-rrb-Ê296-0212,0.0,1.240022685635652E-4
-lrb-506-rrb-Ê296-0212_all,0.0,1.240022685635652E-4
-lrb-713-rrb-853-9797,0.0,1.2197274440461925E-19
-lrb-713-rrb-853-9797_or,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê284-3757,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê284-3757_-lsb-,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê284-4175,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê284-4175_-lsb-,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê285-3165,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê285-3165_-lsb-,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê288-0101,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê288-0101_-lsb-,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê327-3893,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê327-3893_-lsb-,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê327-6032,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê327-6032_-lsb-,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê345-4727,0.0,1.2197274440461925E-19
-lrb-713-rrb-Ê345-4727_unify,0.0,1.2197274440461925E-19
